Res1_Lat,Res1_Long,Res2_Lat,Res2_Long,Res3_Lat,Res3_Long,Res4_Lat,Res4_Long,Res5_Lat,Res5_Long,Res6_Lat,Res6_Long,Res7_Lat,Res7_Long,Res8_Lat,Res8_Long,Res9_Lat,Res9_Long,Res10_Lat,Res10_Long,Res11_Lat,Res11_Long,Res12_Lat,Res12_Long,Res13_Lat,Res13_Long,Res14_Lat,Res14_Long,Res15_Lat,Res15_Long,Res16_Lat,Res16_Long,Res17_Lat,Res17_Long
,,,,,,,,,,,,,,,,,,38.99804,-76.92943,38.98445,-76.93298,38.98326,-76.94477,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,38.98517,-76.93391,38.98436,-76.94522,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,38.98535,-76.93587,38.98443,-76.94474,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,38.98481,-76.93595,38.98496,-76.94477,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.9852,-76.94531,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.9854,-76.94589,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.98555,-76.9465,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.98652,-76.94652,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.98683,-76.94529,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.9872,-76.94537,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.98715,-76.94588,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.98666,-76.94669,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.98595,-76.94699,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.9852,-76.94661,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.98449,-76.94544,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.98418,-76.94549,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.98413,-76.94632,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.98146,-76.9463,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.98172,-76.94976,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.9835,-76.94991,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.98384,-76.94848,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.98472,-76.94895,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.98469,-76.95002,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.98337,-76.95,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,38.98216,-76.95043,,,,,,,,,,
